ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
549,15-20 Years,18Y,M,CUMBERLAND,HS,37
550,21+ Years,LIFE,M,HUDSON,BL,43
551,6-10 Years,6Y,M,ATLANTIC,BL,37
552,6-10 Years,6Y,M,BURLINGTON,BL,34
553,21+ Years,22Y,M,MERCER,BL,32
554,21+ Years,30Y,M,ESSEX,BL,48
555,3-5 Years,3Y 9M 7D,M,ESSEX,BL,44
556,21+ Years,21Y,M,CAMDEN,HS,44
557,11-14 Years,12Y,M,MONMOUTH,BL,44
559,6-10 Years,6Y,M,CAPE MAY,BL,24
560,15-20 Years,18Y,M,BERGEN,HS,32
561,3-5 Years,3Y,M,OCEAN,HS,33
562,15-20 Years,20Y,M,MONMOUTH,BL,44
563,3-5 Years,5Y,M,MIDDLESEX,WH,56
564,3-5 Years,3Y,M,ATLANTIC,BL,41
565,21+ Years,26Y,M,ESSEX,BL,43
566,6-10 Years,10Y,F,MIDDLESEX,BL,36
567,6-10 Years,10Y,M,CAPE MAY,HS,46
568,6-10 Years,6Y,M,MONMOUTH,BL,54
569,21+ Years,54Y,M,BURLINGTON,BL,38
570,15-20 Years,17Y,M,ESSEX,WH,62
571,3-5 Years,5Y,M,BURLINGTON,WH,42
572,3-5 Years,3Y 21D,M,ATLANTIC,BL,40
573,3-5 Years,4Y,M,CAMDEN,BL,42
574,21+ Years,22Y,M,BURLINGTON,BL,40
575,21+ Years,25Y,M,ESSEX,BL,41
576,6-10 Years,8Y,M,UNION,BL,44
577,21+ Years,LIFE,M,CAMDEN,BL,55
578,3-5 Years,3Y 6M,M,CAMDEN,BL,34
579,15-20 Years,16Y,M,MONMOUTH,WH,42
580,21+ Years,21Y,M,CAMDEN,BL,35
581,3-5 Years,5Y,M,CAMDEN,WH,35
582,6-10 Years,10Y,M,UNION,BL,27
583,3-5 Years,5Y,M,CAMDEN,BL,44
584,6-10 Years,10Y,M,UNION,BL,42
585,21+ Years,30Y,M,ATLANTIC,BL,41
586,6-10 Years,7Y,M,UNION,BL,33
587,21+ Years,56Y 6M,M,SALEM,BL,33
588,3-5 Years,4Y,M,CAMDEN,WH,47
589,3-5 Years,4Y 4M 28D,M,ESSEX,BL,26
590,21+ Years,LIFE4,M,MONMOUTH,BL,55
591,1-2 Years,1Y 6M,M,CAMDEN,HS,21
592,3-5 Years,4Y,M,MIDDLESEX,WH,20
593,3-5 Years,5Y,M,MIDDLESEX,WH,49
594,3-5 Years,5Y,M,CAMDEN,BL,38
595,3-5 Years,3Y,M,BERGEN,WH,35
596,6-10 Years,9Y,M,CAPE MAY,WH,24
597,3-5 Years,3Y,M,UNION,WH,19
598,1-2 Years,2Y 4M 27D,M,MERCER,BL,32
599,6-10 Years,6Y,M,SOMERSET,BL,43
600,1-2 Years,1Y 5M 11D,M,ESSEX,BL,58
601,6-10 Years,7Y,M,ESSEX,BL,22
602,6-10 Years,8Y,M,CUMBERLAND,WH,49
603,15-20 Years,15Y,M,OCEAN,WH,56
604,6-10 Years,10Y,M,UNION,WH,36
605,1-2 Years,2Y 4M 24D,M,UNION,BL,24
606,3-5 Years,5Y,M,HUNTERDON,WH,26
607,6-10 Years,7Y,M,OCEAN,WH,45
608,15-20 Years,15Y,M,WARREN,BL,33
609,21+ Years,50Y,M,MORRIS,HS,41
610,6-10 Years,10Y,M,GLOUCESTER,BL,31
611,6-10 Years,6Y,M,BURLINGTON,BL,43
612,3-5 Years,3Y,M,UNION,BL,24
613,21+ Years,28Y,M,GLOUCESTER,BL,27
615,3-5 Years,3Y,M,BERGEN,WH,24
616,11-14 Years,13Y,M,BERGEN,HS,51
617,3-5 Years,5Y,M,UNION,WH,47
619,21+ Years,60Y,M,UNION,BL,55
620,11-14 Years,12Y,M,OCEAN,HS,55
621,3-5 Years,5Y,M,ATLANTIC,WH,23
622,3-5 Years,5Y,M,CAMDEN,BL,19
623,15-20 Years,20Y,M,SOMERSET,BL,43
624,3-5 Years,3Y 10M 18D,F,SUSSEX,WH,50
625,3-5 Years,5Y,M,MIDDLESEX,WH,44
626,6-10 Years,6Y,M,OCEAN,BL,25
627,21+ Years,50Y,M,MONMOUTH,BL,68
628,6-10 Years,8Y,M,BERGEN,HS,60
629,6-10 Years,8Y,M,GLOUCESTER,HS,42
630,21+ Years,36Y,M,ATLANTIC,BL,41
631,21+ Years,51Y 3M,M,MIDDLESEX,BL,53
632,15-20 Years,20Y,M,ATLANTIC,WH,57
633,15-20 Years,15Y,M,BERGEN,WH,38
634,3-5 Years,4Y,M,PASSAIC,BL,31
635,21+ Years,30Y,M,OCEAN,WH,29
636,15-20 Years,15Y,M,OCEAN,BL,27
637,6-10 Years,9Y,M,MIDDLESEX,BL,46
638,3-5 Years,3Y,M,ATLANTIC,BL,29
639,6-10 Years,10Y,M,ATLANTIC,BL,44
640,3-5 Years,4Y,M,CUMBERLAND,WH,57
641,3-5 Years,5Y,M,MONMOUTH,BL,59
642,3-5 Years,5Y,M,ESSEX,BL,35
643,11-14 Years,13Y,M,PASSAIC,BL,32
644,15-20 Years,15Y,M,CAPE MAY,HS,35
645,6-10 Years,7Y,M,HUDSON,BL,22
646,3-5 Years,3Y,M,OCEAN,BL,22
647,21+ Years,21Y 11M 11D,M,BERGEN,BL,31
648,21+ Years,41Y 3M 22D,M,PASSAIC,BL,43
649,6-10 Years,7Y,M,ESSEX,BL,59
650,6-10 Years,8Y,M,PASSAIC,HS,42
651,6-10 Years,6Y,M,MERCER,WH,57
652,21+ Years,65Y,M,ATLANTIC,BL,43
653,15-20 Years,17Y,M,ESSEX,HS,26
654,6-10 Years,10Y,M,BURLINGTON,BL,41
655,21+ Years,LIFE,M,ESSEX,BL,40
656,11-14 Years,11Y,M,MONMOUTH,BL,57
657,21+ Years,LIFE,M,ESSEX,BL,40
658,3-5 Years,3Y,M,BERGEN,HS,41
659,3-5 Years,5Y,M,BURLINGTON,BL,47
660,6-10 Years,8Y,M,PASSAIC,BL,38
661,15-20 Years,17Y,M,BURLINGTON,OA,35
662,6-10 Years,6Y,M,MERCER,BL,42
663,21+ Years,22Y,M,ATLANTIC,BL,31
664,6-10 Years,10Y,M,ESSEX,BL,44
665,21+ Years,30Y,F,BURLINGTON,BL,28
666,21+ Years,LIFE,M,MIDDLESEX,BL,55
667,11-14 Years,13Y,M,MIDDLESEX,BL,40
668,3-5 Years,4Y,M,PASSAIC,BL,35
669,6-10 Years,8Y,M,SOMERSET,BL,33
670,21+ Years,LIFE,M,ESSEX,BL,33
671,11-14 Years,14Y,M,ESSEX,BL,31
672,21+ Years,55Y,M,ATLANTIC,BL,45
674,15-20 Years,17Y,M,UNION,BL,58
675,11-14 Years,11Y,M,CAMDEN,BL,46
676,21+ Years,30Y,M,OCEAN,BL,43
677,6-10 Years,7Y,M,ESSEX,BL,41
678,6-10 Years,7Y,M,ATLANTIC,BL,55
679,6-10 Years,7Y,M,GLOUCESTER,BL,44
680,21+ Years,30Y,M,MIDDLESEX,WH,34
681,3-5 Years,5Y 2D,M,ATLANTIC,BL,55
682,3-5 Years,3Y,M,WARREN,HS,40
683,6-10 Years,10Y,M,CAPE MAY,WH,43
684,3-5 Years,3Y,M,MIDDLESEX,WH,20
685,11-14 Years,12Y,M,ESSEX,BL,29
686,3-5 Years,5Y,M,HUNTERDON,HS,28
687,6-10 Years,9Y,M,UNION,HS,27
688,11-14 Years,12Y,M,BURLINGTON,BL,43
689,15-20 Years,20Y,M,UNION,BL,55
690,6-10 Years,10Y,M,UNION,WH,77
691,6-10 Years,8Y,M,MIDDLESEX,BL,40
692,15-20 Years,19Y,M,UNION,BL,29
693,3-5 Years,5Y,M,ATLANTIC,WH,49
694,3-5 Years,5Y,F,UNION,BL,20
695,11-14 Years,13Y,M,MIDDLESEX,BL,31
696,15-20 Years,18Y 3M 12D,M,MERCER,BL,40
697,21+ Years,LIFE,M,BERGEN,OA,45
698,3-5 Years,5Y,F,MONMOUTH,BL,58
699,3-5 Years,5Y,M,CUMBERLAND,BL,22
700,3-5 Years,4Y 8D,M,ATLANTIC,BL,43
702,6-10 Years,8Y,M,CAMDEN,BL,33
703,11-14 Years,14Y,M,ESSEX,BL,32
704,11-14 Years,11Y 6M,M,MONMOUTH,BL,28
705,6-10 Years,9Y 6M,M,ATLANTIC,BL,41
706,1-2 Years,2Y 1M 15D,M,ESSEX,BL,35
707,6-10 Years,10Y,M,MIDDLESEX,BL,44
708,3-5 Years,4Y,M,CAMDEN,WH,32
709,3-5 Years,3Y,M,BERGEN,WH,24
710,6-10 Years,8Y,M,BERGEN,BL,44
711,6-10 Years,10Y,M,CUMBERLAND,BL,41
712,15-20 Years,20Y,M,SOMERSET,OA,44
713,3-5 Years,5Y,M,PASSAIC,BL,44
714,3-5 Years,5Y,M,SALEM,BL,32
715,15-20 Years,20Y,M,MORRIS,WH,45
716,3-5 Years,5Y 7D,M,MORRIS,BL,32
717,6-10 Years,8Y,M,ESSEX,BL,32
718,6-10 Years,10Y,M,PASSAIC,BL,44
719,6-10 Years,10Y,M,OCEAN,WH,45
720,3-5 Years,3Y,M,PASSAIC,BL,26
721,6-10 Years,10Y,M,PASSAIC,HS,42
722,21+ Years,35Y,M,MONMOUTH,BL,48
723,3-5 Years,3Y,M,UNION,HS,34
724,21+ Years,LIFE,M,MIDDLESEX,HW,60
725,15-20 Years,15Y,M,ATLANTIC,BL,41
726,21+ Years,21Y 6M,M,CAMDEN,BL,55
727,6-10 Years,7Y,M,ESSEX,BL,39
728,21+ Years,25Y 2M 17D,M,MONMOUTH,BL,42
729,3-5 Years,4Y 1M 23D,M,MIDDLESEX,WH,66
730,6-10 Years,7Y 6M,M,SOMERSET,BL,32
732,6-10 Years,8Y,M,OCEAN,BL,36
734,6-10 Years,9Y 13D,M,MIDDLESEX,BL,32
735,11-14 Years,14Y,M,CAMDEN,WH,50
736,1-2 Years,1Y 1M 5D,M,CAMDEN,BL,55
737,21+ Years,65Y,M,ESSEX,BL,42
738,6-10 Years,9Y,M,HUDSON,OA,26
739,15-20 Years,15Y,M,CAPE MAY,BL,31
740,6-10 Years,10Y,M,ESSEX,BL,29
741,21+ Years,LIFE,M,CAPE MAY,BL,65
742,21+ Years,LIFE4,M,UNION,BL,32
743,3-5 Years,5Y,M,MERCER,BL,45
744,3-5 Years,5Y 7M,M,ESSEX,WH,57
745,6-10 Years,6Y,M,BERGEN,BL,44
746,3-5 Years,3Y,M,ESSEX,WH,27
747,3-5 Years,5Y,M,MONMOUTH,WH,26
748,21+ Years,50Y,M,MIDDLESEX,BL,35
749,6-10 Years,6Y,M,MONMOUTH,BL,39
750,15-20 Years,20Y,M,CAMDEN,HS,50
751,3-5 Years,5Y,M,PASSAIC,BL,50
753,6-10 Years,8Y,M,MONMOUTH,BL,43
754,11-14 Years,13Y,M,MIDDLESEX,WH,31
755,21+ Years,LIFE,M,BERGEN,BL,47
756,3-5 Years,5Y,M,SOMERSET,BL,40
757,6-10 Years,9Y,M,HUDSON,HS,39
758,3-5 Years,5Y,M,PASSAIC,BL,48
759,21+ Years,32Y 11M 13D,M,CUMBERLAND,BL,56
760,3-5 Years,3Y 2M 12D,M,CAMDEN,BL,43
761,21+ Years,22Y,M,CAMDEN,BL,44
762,21+ Years,22Y,M,CAMDEN,BL,45
764,3-5 Years,3Y 7M 29D,M,UNION,BL,55
765,21+ Years,LIFE,M,MIDDLESEX,WH,51
766,21+ Years,LIFE,M,ESSEX,BL,45
767,21+ Years,LIFE,M,ATLANTIC,BL,60
768,21+ Years,LIFE,M,PASSAIC,BL,62
769,21+ Years,60Y,M,MERCER,BL,45
770,21+ Years,45Y,M,ESSEX,BL,46
771,21+ Years,LIFE,M,ESSEX,HS,46
772,21+ Years,LIFE,M,CAMDEN,BL,56
773,21+ Years,LIFE,M,ESSEX,BL,52
774,15-20 Years,17Y,M,UNION,BL,44
775,15-20 Years,18Y,M,PASSAIC,HS,66
776,3-5 Years,3Y,M,ESSEX,BL,44
777,21+ Years,50Y,M,ESSEX,BL,46
778,6-10 Years,7Y,M,MERCER,BL,46
779,11-14 Years,12Y,M,BERGEN,WH,58
780,11-14 Years,12Y,M,CAMDEN,HS,59
781,15-20 Years,18Y,M,MIDDLESEX,BL,35
782,21+ Years,LIFE,M,BERGEN,WH,60
783,21+ Years,LIFE,M,ESSEX,BL,51
784,21+ Years,LIFE,M,MERCER,WH,54
785,21+ Years,LIFE,M,ESSEX,BL,52
786,21+ Years,LIFE,M,ESSEX,BL,51
787,21+ Years,LIFE,M,HUDSON,HS,46
788,21+ Years,LIFE,M,OCEAN,BL,50
789,3-5 Years,5Y,M,CAPE MAY,WH,29
790,21+ Years,LIFE,M,MIDDLESEX,BL,52
791,21+ Years,LIFE,M,OCEAN,BL,48
792,15-20 Years,17Y,M,CUMBERLAND,BL,47
793,21+ Years,LIFE,M,CAMDEN,BL,53
794,15-20 Years,15Y,M,ESSEX,BL,24
795,21+ Years,49Y,M,ESSEX,HS,58
796,21+ Years,LIFE,M,ESSEX,BL,53
797,21+ Years,LIFE,M,UNION,BL,43
798,21+ Years,33Y,M,UNION,BL,46
799,3-5 Years,4Y,M,ESSEX,BL,32
800,6-10 Years,10Y,M,ATLANTIC,BL,24
801,6-10 Years,8Y,M,ATLANTIC,BL,24
802,6-10 Years,10Y,M,UNION,BL,30
803,15-20 Years,15Y,M,MERCER,BL,33
804,3-5 Years,5Y,M,CUMBERLAND,BL,29
805,3-5 Years,3Y,M,MERCER,WH,29
806,6-10 Years,10Y,M,MIDDLESEX,BL,41
807,21+ Years,50Y,M,HUDSON,BL,42
808,15-20 Years,20Y,M,PASSAIC,HS,31
809,3-5 Years,3Y,M,MERCER,BL,27
810,3-5 Years,5Y,M,HUDSON,HS,43
812,6-10 Years,6Y,M,WARREN,WH,45
814,11-14 Years,14Y,M,UNION,HS,42
815,3-5 Years,5Y,M,HUDSON,BL,39
816,6-10 Years,10Y,M,CAMDEN,BL,53
817,1-2 Years,1Y 4M,M,SALEM,WH,46
818,21+ Years,LIFE,M,GLOUCESTER,BL,67
819,3-5 Years,4Y 2M 1D,M,HUDSON,HS,43
822,21+ Years,25Y,M,CAMDEN,BL,45
823,15-20 Years,15Y,M,CAMDEN,HS,40
824,3-5 Years,5Y,M,CUMBERLAND,WH,44
827,21+ Years,32Y,M,MERCER,BL,44
828,6-10 Years,8Y,M,ATLANTIC,BL,43
829,6-10 Years,8Y,F,ATLANTIC,WH,36
830,6-10 Years,7Y,M,ESSEX,BL,41
832,15-20 Years,15Y,M,ESSEX,BL,39
833,6-10 Years,10Y,M,HUDSON,BL,27
834,3-5 Years,3Y 8M 24D,M,UNION,WH,31
835,11-14 Years,12Y,M,ESSEX,BL,26
837,6-10 Years,10Y 28D,M,UNION,BL,31
839,21+ Years,22Y,M,CUMBERLAND,BL,27
840,21+ Years,27Y 11M 28D,M,PASSAIC,BL,26
841,21+ Years,LIFE,M,ATLANTIC,BL,71
842,6-10 Years,7Y,M,MERCER,BL,22
843,3-5 Years,3Y,F,SUSSEX,WH,31
844,15-20 Years,16Y,M,ATLANTIC,HS,31
845,21+ Years,30Y,M,BERGEN,HS,44
846,3-5 Years,5Y,M,UNION,BL,21
847,1-2 Years,2Y 4D,M,ESSEX,BL,28
848,6-10 Years,6Y,M,MORRIS,WH,25
849,6-10 Years,6Y,M,GLOUCESTER,WH,27
850,15-20 Years,15Y,M,PASSAIC,WH,44
851,6-10 Years,10Y,M,CAMDEN,BL,28
852,6-10 Years,10Y,M,PASSAIC,BL,33
853,15-20 Years,17Y 6M,M,MIDDLESEX,WH,43
854,6-10 Years,10Y,M,PASSAIC,WH,24
855,6-10 Years,10Y,M,HUDSON,BL,56
856,6-10 Years,9Y,M,BURLINGTON,BL,45
857,21+ Years,80Y,M,CAMDEN,WH,59
858,6-10 Years,7Y,M,CAMDEN,BL,43
859,6-10 Years,7Y 6M,M,OCEAN,HS,36
860,21+ Years,27Y,M,CAMDEN,HS,25
861,1-2 Years,1Y 7M 10D,M,MORRIS,WH,35
863,6-10 Years,10Y,M,MIDDLESEX,WH,56
864,6-10 Years,7Y,M,BURLINGTON,WH,34
865,3-5 Years,4Y,M,PASSAIC,HS,39
866,3-5 Years,5Y,M,HUDSON,BL,32
867,3-5 Years,5Y,M,CAMDEN,BL,24
868,21+ Years,LIFE,M,WARREN,WH,60
869,11-14 Years,12Y,M,ATLANTIC,BL,34
870,15-20 Years,15Y,M,ESSEX,BL,43
872,11-14 Years,12Y,M,ATLANTIC,HS,44
873,3-5 Years,4Y,M,UNION,BL,49
874,6-10 Years,8Y,M,ATLANTIC,WH,29
875,3-5 Years,5Y,M,WARREN,WH,30
876,1-2 Years,2Y 3M 21D,M,MIDDLESEX,WH,28
877,21+ Years,30Y,M,MERCER,HW,56
878,21+ Years,30Y,M,MERCER,BL,45
881,11-14 Years,14Y,M,BURLINGTON,BL,32
882,6-10 Years,9Y,M,CUMBERLAND,BL,38
885,6-10 Years,7Y,M,MORRIS,HS,33
886,3-5 Years,5Y,M,CAMDEN,BL,32
887,11-14 Years,11Y,M,UNION,BL,26
888,1-2 Years,1Y 11M 26D,M,OCEAN,BL,28
889,21+ Years,LIFE,M,OTHER,WH,55
890,3-5 Years,5Y,M,MERCER,BL,40
891,3-5 Years,5Y,M,PASSAIC,BL,43
892,3-5 Years,5Y,M,UNION,BL,43
893,3-5 Years,5Y,M,ATLANTIC,HS,24
895,21+ Years,21Y,M,BURLINGTON,BL,41
896,6-10 Years,9Y 6M,M,UNION,BL,31
897,6-10 Years,10Y,M,MERCER,BL,29
899,11-14 Years,11Y,M,SUSSEX,WH,50
900,6-10 Years,10Y,M,BERGEN,HS,53
901,6-10 Years,10Y,M,ATLANTIC,BL,41
902,6-10 Years,6Y,M,UNION,BL,30
903,21+ Years,LIFE,M,OTHER,HS,74
904,21+ Years,LIFE,M,UNION,BL,42
905,6-10 Years,8Y 6M,M,MIDDLESEX,WH,24
906,21+ Years,24Y,M,ESSEX,BL,40
907,6-10 Years,7Y,M,HUDSON,BL,30
908,6-10 Years,7Y,M,PASSAIC,BL,44
909,21+ Years,25Y,M,HUDSON,BL,41
910,11-14 Years,11Y,M,BERGEN,WH,21
912,3-5 Years,5Y,M,BERGEN,WH,53
913,6-10 Years,9Y,M,BERGEN,HS,46
914,6-10 Years,9Y,M,PASSAIC,WH,47
915,3-5 Years,5Y,M,CAMDEN,BL,30
916,3-5 Years,5Y,M,UNION,BL,22
917,6-10 Years,6Y,M,OCEAN,WH,35
918,3-5 Years,4Y,M,CAMDEN,HS,24
919,6-10 Years,8Y 4M 2D,M,MONMOUTH,BL,39
920,6-10 Years,8Y,M,MONMOUTH,HS,40
921,11-14 Years,12Y,M,CAMDEN,BL,27
922,3-5 Years,3Y,M,ESSEX,WH,20
923,21+ Years,24Y,M,ATLANTIC,BL,43
924,21+ Years,LIFE,M,ESSEX,BL,43
925,21+ Years,60Y,M,CAMDEN,BL,34
926,6-10 Years,9Y,M,MONMOUTH,BL,44
927,6-10 Years,10Y,M,ATLANTIC,BL,40
929,21+ Years,68Y,M,PASSAIC,BL,39
930,21+ Years,22Y,M,HUDSON,BL,27
931,6-10 Years,10Y,M,SUSSEX,WH,29
933,3-5 Years,5Y,M,BURLINGTON,WH,49
934,6-10 Years,10Y,M,MERCER,BL,39
935,21+ Years,44Y,M,CAMDEN,BL,42
936,21+ Years,25Y,M,BERGEN,WH,59
937,6-10 Years,6Y,M,MERCER,BL,28
938,6-10 Years,7Y,M,CAPE MAY,BL,34
939,15-20 Years,20Y,M,OCEAN,BL,42
940,6-10 Years,10Y,M,CAMDEN,WH,43
941,3-5 Years,4Y 7M 11D,M,ATLANTIC,BL,40
942,21+ Years,107Y,M,CAMDEN,BL,35
943,6-10 Years,10Y,M,MERCER,BL,34
944,21+ Years,22Y,M,CAMDEN,WH,36
945,3-5 Years,5Y,M,CAMDEN,BL,21
946,6-10 Years,8Y,M,MERCER,BL,31
947,6-10 Years,8Y,M,CAMDEN,BL,31
948,6-10 Years,7Y 6M,M,MONMOUTH,WH,43
949,3-5 Years,3Y 6M 4D,M,HUDSON,BL,41
951,21+ Years,50Y,M,SOMERSET,BL,57
953,15-20 Years,16Y,F,MIDDLESEX,BL,28
954,15-20 Years,20Y,M,BURLINGTON,WH,41
955,21+ Years,25Y,M,BERGEN,HS,65
956,15-20 Years,15Y,M,HUDSON,BL,40
957,1-2 Years,2Y 1D,M,UNION,BL,31
958,3-5 Years,5Y,M,UNION,BL,41
959,6-10 Years,8Y,M,ESSEX,BL,23
960,11-14 Years,14Y,M,OCEAN,BL,46
961,21+ Years,LIFE,M,MONMOUTH,BL,43
962,3-5 Years,3Y 6M,M,ESSEX,BL,44
963,21+ Years,30Y,M,UNION,HS,41
964,6-10 Years,8Y,M,UNION,BL,41
965,11-14 Years,12Y,F,CAMDEN,BL,43
967,6-10 Years,7Y,M,HUDSON,OA,63
968,21+ Years,58Y,M,UNION,BL,25
969,21+ Years,30Y,F,CAMDEN,WH,29
970,21+ Years,LIFE,M,ESSEX,BL,67
971,21+ Years,LIFE,M,PASSAIC,BL,43
972,21+ Years,LIFE1,M,ATLANTIC,BL,56
973,1-2 Years,1Y 4M 1D,M,CAMDEN,WH,42
975,3-5 Years,4Y 8M 13D,M,MERCER,BL,44
976,3-5 Years,5Y,M,MIDDLESEX,BL,47
977,6-10 Years,8Y,M,BURLINGTON,WH,41
978,6-10 Years,9Y,M,MONMOUTH,BL,41
979,21+ Years,40Y,M,GLOUCESTER,BL,39
980,15-20 Years,18Y,M,ESSEX,BL,40
981,3-5 Years,5Y,M,HUDSON,BL,32
982,3-5 Years,3Y,M,GLOUCESTER,HS,62
983,6-10 Years,10Y,M,MIDDLESEX,WH,43
984,3-5 Years,4Y 7M 6D,M,BURLINGTON,HW,43
985,15-20 Years,20Y,M,PASSAIC,BL,31
986,6-10 Years,7Y,M,UNION,BL,43
987,3-5 Years,5Y,M,GLOUCESTER,BL,36
988,3-5 Years,5Y,M,SOMERSET,HS,21
989,21+ Years,LIFE,M,PASSAIC,BL,45
990,21+ Years,LIFE,M,BERGEN,BL,56
991,6-10 Years,7Y,M,BERGEN,BL,34
992,15-20 Years,15Y,M,PASSAIC,BL,33
993,6-10 Years,7Y,M,HUDSON,HS,30
994,3-5 Years,3Y,M,MERCER,HS,30
996,3-5 Years,4Y,M,OCEAN,WH,41
997,21+ Years,27Y,M,MIDDLESEX,HS,42
998,21+ Years,LIFE,M,OTHER,HS,69
1000,21+ Years,50Y,M,MIDDLESEX,BL,47
1001,6-10 Years,8Y,M,MIDDLESEX,HS,25
1002,21+ Years,LIFE,M,UNION,BL,57
1003,6-10 Years,8Y,M,MIDDLESEX,WH,46
1004,21+ Years,24Y,M,HUDSON,BL,27
1005,21+ Years,LIFE,M,OTHER,HS,35
1006,3-5 Years,4Y,M,MIDDLESEX,OA,67
1007,21+ Years,LIFE,M,BURLINGTON,BL,57
1008,1-2 Years,1Y 6M 10D,M,PASSAIC,HS,30
1009,3-5 Years,5Y,M,ATLANTIC,BL,41
1010,1-2 Years,2Y 8M 3D,M,BERGEN,BL,40
1011,11-14 Years,11Y,M,ATLANTIC,BL,41
1012,6-10 Years,8Y,M,ATLANTIC,BL,42
1013,21+ Years,LIFE,M,CUMBERLAND,HS,45
1014,21+ Years,59Y,M,CAMDEN,BL,43
1015,21+ Years,LIFE,M,MIDDLESEX,BL,47
1016,21+ Years,35Y,M,OTHER,HS,71
1019,15-20 Years,15Y,F,CAMDEN,BL,30
1020,21+ Years,LIFE4,M,OTHER,HS,35
1021,1-2 Years,1Y,M,BERGEN,HS,51
1023,6-10 Years,9Y,M,ESSEX,BL,23
1024,3-5 Years,5Y,M,PASSAIC,BL,23
1026,21+ Years,29Y,M,BERGEN,BL,48
1027,6-10 Years,10Y,M,ATLANTIC,BL,42
1028,3-5 Years,5Y,M,MERCER,BL,36
1030,3-5 Years,3Y,M,CUMBERLAND,HS,41
1031,6-10 Years,7Y,M,PASSAIC,BL,26
1032,6-10 Years,9Y,M,MONMOUTH,WH,59
1033,21+ Years,LIFE,M,ESSEX,HS,73
1034,3-5 Years,5Y,M,ESSEX,BL,25
1035,3-5 Years,5Y,M,PASSAIC,BL,34
1036,6-10 Years,8Y,M,MERCER,BL,41
1037,3-5 Years,5Y,M,ATLANTIC,BL,41
1039,6-10 Years,6Y,M,UNION,BL,21
1040,21+ Years,36Y 2M 23D,M,PASSAIC,HS,31
1041,21+ Years,LIFE,M,MONMOUTH,HS,65
1042,15-20 Years,17Y,M,PASSAIC,BL,44
1043,6-10 Years,8Y,M,CAMDEN,WH,21
1044,6-10 Years,8Y 7M 18D,M,BURLINGTON,WH,46
1045,21+ Years,28Y,M,MONMOUTH,BL,41
1046,6-10 Years,10Y,M,ATLANTIC,BL,43
1047,21+ Years,50Y,M,BERGEN,BL,56
1048,15-20 Years,15Y,M,SOMERSET,WH,20
1049,15-20 Years,16Y,M,PASSAIC,BL,60
1050,11-14 Years,11Y 8M 12D,M,MORRIS,WH,45
1051,15-20 Years,18Y,M,UNION,BL,55
1052,21+ Years,30Y,M,HUDSON,HS,64
1053,21+ Years,30Y 6M 8D,M,ESSEX,BL,30
1054,3-5 Years,3Y,M,SALEM,WH,55
1055,3-5 Years,3Y,F,MONMOUTH,HS,55
1056,21+ Years,26Y,M,WARREN,WH,45
1057,3-5 Years,3Y,M,MERCER,BL,31
1058,15-20 Years,18Y,M,CAMDEN,BL,43
1059,3-5 Years,3Y 6M,M,ESSEX,BL,27
1060,21+ Years,LIFE,M,ATLANTIC,BL,73
1061,6-10 Years,7Y,M,MIDDLESEX,HS,22
1062,15-20 Years,20Y,M,MONMOUTH,WH,40
1063,6-10 Years,8Y 6M,M,ESSEX,BL,41
1064,21+ Years,44Y,M,UNION,BL,44
1065,11-14 Years,12Y,M,OCEAN,WH,72
1066,3-5 Years,5Y,F,ATLANTIC,BL,30
1067,6-10 Years,6Y 6M,M,MONMOUTH,BL,24
1068,6-10 Years,8Y,M,CUMBERLAND,WH,27
1069,21+ Years,25Y,M,CAMDEN,BL,42
1070,1-2 Years,1Y 4M,M,CUMBERLAND,WH,43
1072,3-5 Years,3Y,M,BURLINGTON,BL,42
1073,21+ Years,30Y,M,HUDSON,BL,39
1074,6-10 Years,7Y,M,CAMDEN,BL,26
1075,3-5 Years,5Y,M,MERCER,BL,41
1076,3-5 Years,5Y,M,MERCER,BL,42
1078,6-10 Years,6Y,M,PASSAIC,HS,21
1079,11-14 Years,11Y,M,MORRIS,HS,54
1080,21+ Years,80Y,M,ESSEX,HS,43
1081,3-5 Years,5Y,M,MERCER,BL,22
1082,21+ Years,60Y,M,ESSEX,BL,43
1083,3-5 Years,5Y,M,PASSAIC,BL,29
1084,3-5 Years,5Y,M,UNION,BL,31
1085,3-5 Years,5Y,M,MIDDLESEX,HS,30
1086,6-10 Years,6Y,F,SUSSEX,WH,23
1087,6-10 Years,8Y 6M,M,MIDDLESEX,HS,24
1088,3-5 Years,4Y,M,ESSEX,WH,28
1089,21+ Years,30Y,M,PASSAIC,BL,45
1090,6-10 Years,6Y,M,UNION,BL,28
1091,21+ Years,57Y,M,CAMDEN,BL,34
1092,21+ Years,40Y,M,CAMDEN,BL,35
1093,15-20 Years,15Y,M,CAPE MAY,WH,32
1094,21+ Years,LIFE,M,OCEAN,WH,69
1095,3-5 Years,5Y,M,UNION,BL,22
1096,3-5 Years,3Y,M,BERGEN,BL,24
1097,3-5 Years,5Y,F,CAMDEN,BL,30
1098,15-20 Years,20Y,M,CAMDEN,BL,31
1099,6-10 Years,10Y,M,UNION,BL,29
1100,3-5 Years,5Y,M,BURLINGTON,WH,33
1101,11-14 Years,12Y,M,CAMDEN,HS,22
1102,3-5 Years,5Y,M,MERCER,BL,22
