ID,Term at Admission (Category),Total Max Term,Gender,County,Race/Ethnicity,Age
4562,3-5 Years,5Y 6M,M,MIDDLESEX,HS,32
4563,1-2 Years,2Y 4M 18D,M,MIDDLESEX,WH,31
4564,21+ Years,50Y,F,HUDSON,WH,62
4565,15-20 Years,20Y,M,SALEM,WH,43
4566,21+ Years,70Y,M,ATLANTIC,BL,44
4567,3-5 Years,3Y,M,BURLINGTON,BL,22
4568,11-14 Years,13Y,M,PASSAIC,BL,25
4569,11-14 Years,12Y,M,MERCER,BL,51
4570,21+ Years,60Y,M,PASSAIC,HS,36
4571,15-20 Years,16Y,M,CAMDEN,BL,30
4572,6-10 Years,8Y,M,ATLANTIC,BL,37
4573,3-5 Years,4Y,M,CAMDEN,BL,30
4574,11-14 Years,13Y,M,UNION,BL,29
4575,3-5 Years,3Y 6M,M,ESSEX,BL,41
4576,21+ Years,28Y,M,MERCER,HW,52
4577,15-20 Years,18Y,M,ESSEX,BL,52
4578,21+ Years,65Y,M,MERCER,BL,67
4579,11-14 Years,12Y,M,MIDDLESEX,BL,30
4580,6-10 Years,7Y,M,BERGEN,OA,48
4581,6-10 Years,7Y,M,ESSEX,BL,35
4582,21+ Years,25Y,M,MERCER,WH,53
4583,6-10 Years,7Y 6M,M,SOMERSET,WH,40
4584,15-20 Years,20Y,M,BURLINGTON,WH,69
4585,21+ Years,30Y,M,CAMDEN,BL,30
4586,15-20 Years,15Y,M,ESSEX,BL,52
4587,21+ Years,31Y 6M,M,UNION,BL,40
4588,3-5 Years,5Y,M,MIDDLESEX,BL,28
4589,15-20 Years,17Y,M,UNION,BL,51
4590,3-5 Years,5Y,M,MIDDLESEX,BL,23
4591,6-10 Years,10Y,M,MORRIS,WH,63
4592,6-10 Years,6Y,M,ATLANTIC,WH,26
4593,3-5 Years,5Y,M,CAPE MAY,BL,31
4594,21+ Years,30Y 1M 15D,M,OCEAN,BL,39
4595,15-20 Years,15Y,M,BURLINGTON,BL,39
4596,6-10 Years,8Y,M,MIDDLESEX,BL,33
4597,11-14 Years,11Y,M,CUMBERLAND,BL,32
